Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2025-01-02 14:30:00+00:00,245.73989868164062,249.10000610351562,244.8000030517578,248.92999267578125,13501229
2025-01-02 15:30:00+00:00,244.89500427246094,245.8800048828125,244.16009521484375,245.6300048828125,6830782
2025-01-02 16:30:00+00:00,243.42860412597656,245.25,243.32000732421875,244.90989685058594,4384552
2025-01-02 17:30:00+00:00,242.6862030029297,243.41000366210938,242.30999755859375,243.41000366210938,6464462
2025-01-02 18:30:00+00:00,242.4884033203125,242.83999633789062,241.82009887695312,242.6699981689453,5547977
2025-01-02 19:30:00+00:00,243.23109436035156,243.44000244140625,241.87130737304688,242.47999572753906,5106418
2025-01-02 20:30:00+00:00,243.82000732421875,243.9499969482422,243.01019287109375,243.25,6023491
2025-01-03 14:30:00+00:00,242.4597930908203,244.17999267578125,241.88999938964844,242.8802032470703,9135529
2025-01-03 15:30:00+00:00,243.49000549316406,243.67559814453125,242.13999938964844,242.4499969482422,4968036
2025-01-03 16:30:00+00:00,242.7707061767578,244.04859924316406,242.6699981689453,243.47999572753906,3673389
2025-01-03 17:30:00+00:00,243.00999450683594,243.16000366210938,242.27999877929688,242.77999877929688,3313371
2025-01-03 18:30:00+00:00,242.6699981689453,243.05999755859375,242.57000732421875,243.0,3130427
2025-01-03 19:30:00+00:00,242.85000610351562,243.44239807128906,242.63999938964844,242.66000366210938,3007142
2025-01-03 20:30:00+00:00,243.3000030517578,243.60000610351562,242.61000061035156,242.83999633789062,4381782
2025-01-06 14:30:00+00:00,245.5500030517578,246.1826934814453,243.83999633789062,244.3300018310547,10577599
2025-01-06 15:30:00+00:00,246.74000549316406,247.3300018310547,245.3300018310547,245.5399932861328,5006800
2025-01-06 16:30:00+00:00,245.77000427246094,246.76100158691406,245.7012939453125,246.7550048828125,3354093
2025-01-06 17:30:00+00:00,245.02999877929688,245.8699951171875,244.47999572753906,245.75999450683594,3070077
2025-01-06 18:30:00+00:00,244.97999572753906,245.17999267578125,244.60000610351562,245.02999877929688,2065770
2025-01-06 19:30:00+00:00,244.89500427246094,245.1300048828125,244.4250030517578,244.97999572753906,2306175
2025-01-06 20:30:00+00:00,245.0,245.33999633789062,244.4199981689453,244.91000366210938,3773029
2025-01-07 14:30:00+00:00,245.38890075683594,245.5500030517578,242.8300018310547,242.97999572753906,8173530
2025-01-07 15:30:00+00:00,243.77000427246094,245.32000732421875,243.7100067138672,245.13999938964844,4154915
2025-01-07 16:30:00+00:00,242.38999938964844,245.0,242.13819885253906,243.74000549316406,4446679
2025-01-07 17:30:00+00:00,243.15550231933594,243.4084014892578,241.36000061035156,242.39999389648438,3448950
2025-01-07 18:30:00+00:00,242.45799255371094,243.17999267578125,242.07009887695312,243.14999389648438,2577768
2025-01-07 19:30:00+00:00,242.00999450683594,242.49000549316406,241.75,242.4499969482422,2681979
2025-01-07 20:30:00+00:00,242.19000244140625,242.40499877929688,241.53900146484375,242.02000427246094,4772501
2025-01-08 14:30:00+00:00,242.40989685058594,242.86549377441406,240.0500030517578,241.97000122070312,7170550
2025-01-08 15:30:00+00:00,242.7100067138672,243.71229553222656,242.0850067138672,242.38999938964844,4154228
2025-01-08 16:30:00+00:00,241.3699951171875,243.5800018310547,241.24000549316406,242.72610473632812,3009958
2025-01-08 17:30:00+00:00,242.35000610351562,242.50869750976562,241.1999969482422,241.36000061035156,2612848
2025-01-08 18:30:00+00:00,242.7949981689453,242.97999572753906,241.04400634765625,242.35000610351562,2761227
